Probe;Intron;STK11E1lncD;STK11E1lncG;Intron.1;STK11E2lncD;STK11E2lncG;Intron.2;STK11E3lncD;STK11E3lncG;Intron.3;STK11E1D;STK11E1aG;STK11E1aD;STK11E1G;Intron.4;STK11Eins1D;STK11Eins1G;Intron.5;STK11E2D;STK11E2G;Intron.6;STK11E3D;STK11E3G;Intron.7;STK11E4D;STK11E4G;Intron.8;STK11E5D;STK11E5G;Intron.9;STK11E6D;STK11E6G;Intron.10;STK11E7D;STK11E7G;Intron.11;STK11E8D;STK11E8G;Intron.12;STK11E8aD;STK11E9D;STK11E9G;Intron.13;STK11E10D;STK11E10G;Intron.14;STK11EIntron1G
Num;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;0;9;0;0;10;0;0;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;Geno
Size;20;0;5;10;0;5;10;0;5;10;0;10;5;25;35;0;5;15;0;10;10;0;10;10;0;10;5;0;10;10;0;10;10;0;5;10;0;10;20;0;10;15;10;0;30;20;0
Pos;0;20;20;25;35;35;40;50;50;55;65;65;75;80;105;140;140;145;160;160;170;180;180;190;200;200;210;215;215;225;235;235;245;255;255;260;270;270;280;300;300;310;325;335;335;365;155
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
