Probe;Intron;RAD51DE1lncaD;RAD51DE1lncaG;Intron.1;RAD51DE1lncbD;RAD51DE1lncbG;Intron.2;RAD51DE1D;RAD51DE1G;Intron.3;RAD51DE2D;RAD51DE2G;Intron.4;RAD51DE3D;RAD51DE3G;Intron.5;RAD51DEins3D;RAD51DEins3G;Intron.6;RAD51DE4D;RAD51DE4G;Intron.7;RAD51DE5D;RAD51DE5bD;RAD51DE5G;Intron.8;RAD51DE6D;RAD51DE6G;Intron.9;RAD51DEins6D;RAD51DEins6G;Intron.10;RAD51DE7D;RAD51DE7G;Intron.11;RAD51DE8D;RAD51DE8G;Intron.12;RAD51DE9D;RAD51DE9G;Intron.13;RAD51DE10D;RAD51DE10G;Intron.14;RAD51DEIntron5G
Num;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;0;0;0;0;4;0;0;5;0;0;0;6;0;0;0;0;0;7;0;0;8;0;0;9;0;0;10;0;0;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno
Size;20;0;5;10;0;5;10;0;10;10;0;10;10;0;10;10;0;5;30;0;10;5;0;5;5;10;0;10;5;0;5;20;0;10;5;0;10;15;0;10;5;0;20;20;0
Pos;0;20;20;25;35;35;40;50;50;60;70;70;80;90;90;100;110;110;115;145;145;155;160;160;165;170;180;180;190;195;195;200;220;220;230;235;235;245;260;260;270;275;275;295;175
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
