Probe;Intron;BUB1E1D;BUB1E1G;Intron.1;BUB1Eins1aD;BUB1Eins1aG;Intron.2;BUB1Eins1bD;BUB1Eins1bG;BUB1Eins1cG;Intron.3;BUB1Eins1dD;BUB1Eins1dG;Intron.4;BUB1E2D;BUB1E2G;Intron.5;BUB1E3D;BUB1E3G;Intron.6;BUB1E4D;BUB1E4G;Intron.7;BUB1E5D;BUB1E5G;Intron.8;BUB1E6D;BUB1E6G;Intron.9;BUB1E7D;BUB1E7G;Intron.10;BUB1E8D;BUB1E8G;Intron.11;BUB1E9D;BUB1E9G;Intron.12;BUB1E10aD;BUB1E10D;BUB1E10G;Intron.13;BUB1E11D;BUB1E11G;Intron.14;BUB1E12D;BUB1E12G;Intron.15;BUB1E13D;BUB1E13G;Intron.16;BUB1E14D;BUB1E14G;Intron.17;BUB1E15D;BUB1E15G;Intron.18;BUB1E16D;BUB1E16G;Intron.19;BUB1E17D;BUB1E17G;Intron.20;BUB1E18D;BUB1E18G;Intron.21;BUB1E19D;BUB1E19G;Intron.22;BUB1Eins19D;BUB1Eins19G;Intron.23;BUB1E20D;BUB1E20G;Intron.24;BUB1E21D;BUB1E21G;Intron.25;BUB1E22D;BUB1E22G;Intron.26;BUB1E23D;BUB1E23G;Intron.27;BUB1E24D;BUB1E24G;Intron.28;BUB1E25D;BUB1E25G;Intron.29;BUB1EIntron17G
Num;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;16;0;0;17;0;0;18;0;0;19;0;0;0;0;0;20;0;0;21;0;0;22;0;0;23;0;0;24;0;0;25;0;0;0
Type;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno
Size;20;0;10;5;0;5;5;0;5;5;5;0;5;5;0;10;5;0;10;10;0;10;10;0;10;10;0;10;10;0;10;5;0;10;10;0;10;20;0;10;10;10;0;10;10;0;10;5;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;20;0;10;10;0;10;8;0;10;8;0;10;8;0;10;10;0;10;10;0;15;20;0
Pos;0;20;20;30;35;35;40;45;45;50;55;60;60;65;70;70;80;85;85;95;105;105;115;125;125;135;145;145;155;165;165;175;180;180;190;200;200;210;230;230;240;250;260;260;270;280;280;290;295;295;305;315;315;325;335;335;345;355;355;365;375;375;385;395;395;405;415;415;425;445;445;455;465;465;475;483;483;493;501;501;511;519;519;529;539;539;549;559;559;574;390
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
