Probe;Intron;PALB2E1D;PALB2E1aG;PALB2E1G;Intron.1;PALB2Eins1aD;PALB2Eins1aG;Intron.2;PALB2Eins1bD;PALB2Eins1bG;Intron.3;PALB2E2D;PALB2E2G;Intron.4;PALB2E3D;PALB2E3G;Intron.5;PALB2E4D;PALB2E4G;Intron.6;PALB2E5D;PALB2E5G;Intron.7;PALB2E6D;PALB2E6G;Intron.8;PALB2E7D;PALB2E7G;Intron.9;PALB2E8D;PALB2E8G;Intron.10;PALB2E9D;PALB2E9G;Intron.11;PALB2E10D;PALB2E10G;Intron.12;PALB2E11D;PALB2E11G;Intron.13;PALB2E12D;PALB2E12G;Intron.14;PALB2E13D;PALB2E13G;Intron.15;PALB2EIntron8G;PALB2ET1100WTG;PALB2ET1100WTD;PALB2ET1100TD;PALB2EE672WTG;PALB2EE672QG;PALB2EE672QD
Num;0;1;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;0;0;T110W_E12;0;0;E672Q_E5;0
Type;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P
Size;20;0;5;5;10;0;5;10;0;5;5;0;10;5;0;10;10;0;25;15;0;20;5;0;10;10;0;10;10;0;10;10;0;10;8;0;10;20;0;10;20;0;10;15;0;15;20;0;0;0;0;0;0;0
Pos;0;20;20;25;30;40;40;45;55;55;60;65;65;75;80;80;90;100;100;125;140;140;160;165;165;175;185;185;195;205;205;215;225;225;235;243;243;253;273;273;283;303;303;313;328;328;343;220;0;400;410;0;430;440
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58
