Probe;Intron;APCE1lncaD;APCE1lncaG;APCE1lncbG;Intron.1;APCE1D;APCE1G;Intron.2;APCEins1D;APCEins1G;Intron.3;APCE2D;APCE2G;Intron.4;APCE3D;APCE3G;Intron.5;APCE4D;APCE4G;Intron.6;APCE5D;APCE5G;Intron.7;APCE6D;APCE6G;Intron.8;APCE7D;APCE7G;Intron.9;APCE8D;APCE8G;Intron.10;APCEins8D;APCEins8G;Intron.11;APCE9D;APCE9G;Intron.12;APCE10D;APCE10bD;APCE10G;Intron.13;APCE11D;APCE11G;Intron.14;APCEins11D;APCEins11G;Intron.15;APCE12D;APCE12G;Intron.16;APCE13D;APCE13G;Intron.17;APCE14D;APCE14_2D;APCE14G;Intron.18;APCE15D;APCE15G;Intron.19;APCE16D;APCE16G;Intron.20;APCEintron11G;APCE5UTRWTG;APCE5UTRWTD;APCE5UTRD;APCE16Y486WTG;APCE16Y486WTD;APCE16Y486YD;APCE16T1493WTG;APCE16T1493WTD;APCE16T1493TD;APCE16G1678WTG;APCE16G1678WTD;APCE16G1678GD;APCE16S1756WTG;APCE16S1756WTD;APCE16S1756SD;APCE16V1822WTG;APCE16V1822WTD;APCE16V1822DD;APCE16P1960WTG;APCE16P1960WTD;APCE16P1960PD
Num;0;0;0;0;0;1;0;0;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;0;0;0;9;0;0;10;0;0;0;11;0;0;0;0;0;12;0;0;13;0;0;14;14;0;0;15;0;0;16;0;0;0;0;T5UTRG;0;0;Y486Y_E12;0;0;T1493T_E16;0;0;G1678G_E16;0;0;S1756S_E16;0;0;V1822D_E16;0;0;P1960P_E16;0
Type;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P;S;N;P;S;N;P;S;N;P;S;N;P;S;N;P
Size;20;0;5;5;10;0;5;10;0;5;10;0;10;10;0;10;5;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;5;5;0;10;5;0;10;5;5;0;10;5;0;5;10;0;10;5;0;10;5;0;0;10;10;0;10;10;0;30;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;25;30;40;40;45;55;55;60;70;70;80;90;90;100;105;105;115;125;125;135;145;145;155;165;165;175;185;185;195;205;205;210;215;215;225;230;230;240;245;250;250;260;265;265;270;280;280;290;295;295;305;310;310;310;320;330;330;340;350;350;380;275;0;460;470;0;490;500;0;520;530;0;550;560;0;580;590;0;610;620;0;640;650
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58
