Probe;Intron;BRCA1E1D;BRCA1E1bG;BRCA1E1G;BRCA1EIns1qG;Intron.1;BRCA1E2D;BRCA1E2G;Intron.2;BRCA1Eins2AbD;BRCA1Eins2AbG;Intron.3;BRCA1E3D;BRCA1E3G;Intron.4;BRCA1E5D;BRCA1E5bG;BRCA1E5G;Intron.5;BRCA1E6D;BRCA1E6G;Intron.6;BRCA1E7D;BRCA1E7G;Intron.7;BRCA1E8D;BRCA1E8bD;BRCA1E8G;Intron.8;BRCA1E9D;BRCA1E9G;Intron.9;BRCA1E10D;BRCA1E10G;Intron.10;BRCA1E11D;BRCA1E11G;BRCA1E11aG;Intron.11;BRCA1E12D;BRCA1E12G;Intron.12;BRCA1E13D;BRCA1E13bD;BRCA1E13G;Intron.13;BRCA1Eins13D;BRCA1Eins13G;Intron.14;BRCA1E14D;BRCA1E14bD;BRCA1E14G;Intron.15;BRCA1E15D;BRCA1E15G;Intron.16;BRCA1E16D;BRCA1E16G;Intron.17;BRCA1E17D;BRCA1E17G;Intron.18;BRCA1E18D;BRCA1E18G;Intron.19;BRCA1E19D;BRCA1E19G;Intron.20;BRCA1E20D;BRCA1E20G;Intron.21;BRCA1E21D;BRCA1E21G;Intron.22;BRCA1E22D;BRCA1E22G;Intron.23;BRCA1E23D;BRCA1E23G;Intron.24;BRCA1E24D;BRCA1E24G;Intron.25;BRCA1Eintron2G;BRCA1Eintron12G;BRCA1Eintron24G;BRCA1ES694WTG;BRCA1ES694WTD;BRCA1ES694SD;BRCA1EL771WTG;BRCA1EL771LD;BRCA1EL771WTD;BRCA1EP871WTG;BRCA1EP871WTD;BRCA1EP871LD;BRCA1EE1038WTG;BRCA1EE1038WTD;BRCA1EE1038GD;BRCA1EK1183WTG;BRCA1EK1183WTD;BRCA1EK1183RD;BRCA1ES1613WTG;BRCA1ES1613WTD;BRCA1ES1613GD;BRCA1Edel2pD;FRYE60G;PDS5BE2D;CCDC200-202E4G;CCDC200-201E3G;VAT1E2D
Num;0;1;0;0;0;0;2;0;0;0;0;0;3;0;0;5;0;0;0;6;0;0;7;0;0;8;0;0;0;9;0;0;10;0;0;11;0;0;0;12;0;0;13;0;0;0;0;0;0;14;0;0;0;15;0;0;16;0;0;17;0;0;18;0;0;19;0;0;20;0;0;21;0;0;22;0;0;23;0;0;24;0;0;0;0;0;0;S694S_E11;0;0;L771L_E11;0;0;P871L_E11;0;0;E1038G_E11;0;0;K1183R_E11;0;0;S1613G_E16;0;0;0;0;0;0;0
Type;I;D;G;G;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;Geno;Geno;S;N;P;S;N;P;S;N;P;S;N;P;S;N;P;S;N;P;plus_dans_mix;trans_splice;trans_splice;trans_splice;trans_splice;trans_splice
Size;20;0;10;5;5;25;0;15;25;0;5;25;0;15;25;0;10;5;25;0;15;25;0;15;25;0;5;10;25;0;15;25;0;15;25;0;15;100;25;0;15;25;0;5;10;25;0;5;25;0;5;10;25;0;15;25;0;15;25;0;15;25;0;15;25;0;15;25;0;15;25;0;15;25;0;15;25;0;15;25;0;15;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;30;35;40;65;65;80;105;105;110;135;135;150;175;175;185;190;215;215;230;255;255;270;295;295;300;310;335;335;350;375;375;390;415;415;430;530;555;555;570;595;595;600;610;635;635;640;665;665;670;680;705;705;720;745;745;760;785;785;800;825;825;840;865;865;880;905;905;920;945;945;960;985;985;1000;1025;1025;1040;1065;1065;1080;55;545;1055;0;1150;1160;0;1180;1190;0;1210;1220;0;1240;1250;0;1270;1280;0;1300;1310;0;0;0;0;0;0
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58
