Probe;Intron;PMS2E1D;PMS2E1G;Intron.1;PMS2E2D;PMS2E2G;Intron.2;PMS2E3D;PMS2E3G;Intron.3;PMS2E4D;PMS2E4aG;PMS2E4G;Intron.4;PMS2E5D;PMS2E5G;Intron.5;PMS2E6D;PMS2E6bD;PMS2E6G;Intron.6;PMS2E7D;PMS2E7G;PMS2E7_2G;Intron.7;PMS2E8D;PMS2E8G;Intron.8;PMS2E9D;PMS2E9G;Intron.9;PMS2E10D;PMS2E10G;Intron.10;PMS2E11D;PMS2E11G;Intron.11;PMS2E12D;PMS2E12G;Intron.12;PMS2E13D;PMS2E13G;Intron.13;PMS2E14D;PMS2E14G;Intron.14;PMS2E15D;PMS2E15G;Intron.15;PMS2EIntron4G;PMS2E11P470WTG;PMS2E11P470WTD;PMS2E11P470PD;PMS2E11K541WTG;PMS2E11K541WTD;PMS2E11K541KD;PMS2E15G857WTG;PMS2E15G857WTD;PMS2E15G857GD
Num;0;1;0;0;2;0;0;3;0;0;4;0;0;0;5;0;0;6;0;0;0;7;0;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;0;0;P470S_E11;0;0;K541E_E11;0;0;G857A_E15;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P;S;N;P
Size;20;0;10;15;0;10;15;0;10;5;0;5;5;10;0;10;15;0;5;10;10;0;10;10;10;0;10;20;0;10;10;0;10;15;0;15;15;0;10;15;0;10;10;0;10;20;0;30;20;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;30;45;45;55;70;70;80;85;85;90;95;105;105;115;130;130;135;145;155;155;155;165;175;175;185;205;205;215;225;225;235;250;250;265;280;280;290;305;305;315;325;325;335;355;355;385;100;0;455;465;0;485;495;0;515;525
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58
