Probe;Intron;AXIN2E1D;AXIN2E1G;Intron.1;AXIN2Eins1aD;AXIN2Eins1aG;Intron.2;AXIN2Eins1bD;AXIN2Eins1bG;Intron.3;AXIN2Eins1cD;AXIN2Eins1cG;Intron.4;AXIN2Eins1dD;AXIN2Eins1dG;Intron.5;AXIN2E2D;AXIN2E2aG;AXIN2E2G;Intron.6;AXIN2E3D;AXIN2E3G;Intron.7;AXIN2E4D;AXIN2E4G;Intron.8;AXIN2E5D;AXIN2E5G;Intron.9;AXIN2E6D;AXIN2E6G;Intron.10;AXIN2E7D;AXIN2E7G;Intron.11;AXIN2E8D;AXIN2E8G;Intron.12;AXIN2E9D;AXIN2E9G;Intron.13;AXIN2E10D;AXIN2E10G;Intron.14;AXIN2E11D;AXIN2E11bD;AXIN2E11G;Intron.15;AXIN2EIntron5G;AXIN2E2P50WTG;AXIN2E2P50WTD;AXIN2E2P50SD;AXIN2E6P462WTG;AXIN2E6P462WTD;AXIN2E6P462PD;AXIN2E8L688WTG;AXIN2E8L688WTD;AXIN2E8L688LD
Num;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;0;0;0;P50S_E2;0;0;P462P_E6;0;0;L688L_E8;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;Geno;S;N;P;S;N;P;S;N;P
Size;20;0;20;10;0;10;10;0;10;10;0;10;10;0;10;10;0;20;30;40;0;10;40;0;10;20;0;10;10;0;20;10;0;10;10;0;10;10;0;10;20;0;10;30;0;40;10;20;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;40;50;50;60;70;70;80;90;90;100;110;110;120;130;130;150;180;220;220;230;270;270;280;300;300;310;320;320;340;350;350;360;370;370;380;390;390;400;420;420;430;460;460;500;510;315;0;600;610;0;630;640;0;660;670
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58
