Probe;Intron;BMPR1AE1D;BMPR1AE1G;Intron.1;BMPR1AE2D;BMPR1AE2G;Intron.2;BMPR1AEins2D;BMPR1AEins2G;Intron.3;BMPR1AE3D;BMPR1AE3G;Intron.4;BMPR1AE4D;BMPR1AE4G;Intron.5;BMPR1AE5D;BMPR1AE5G;Intron.6;BMPR1AE6D;BMPR1AE6G;Intron.7;BMPR1AE7D;BMPR1AE7G;Intron.8;BMPR1AE8D;BMPR1AE8G;Intron.9;BMPR1AE9D;BMPR1AE9G;Intron.10;BMPR1AE10D;BMPR1AE10G;Intron.11;BMPR1AE11D;BMPR1AE11G;Intron.12;BMPR1AE12D;BMPR1AE12G;Intron.13;BMPR1AE13D;BMPR1AE13aG;BMPR1AE13bG;Intron.14;BMPR1AE14aD;BMPR1AE14bD;BMPR1AE14G;Intron.15;BMPR1AEIntron9G;BMPR1AE3P2WTG;BMPR1AE3P2WTD;BMPR1AE3P2PD
Num;0;1;0;0;2;0;0;0;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;0;0;0;0;0;0;0;P2T_E3;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;D;G;I;Geno;S;N;P
Size;20;0;20;60;0;10;10;0;10;20;0;10;10;0;10;10;0;10;10;0;10;5;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;5;0;30;10;10;0;5;5;20;0;0;0;0
Pos;0;20;20;40;100;100;110;120;120;130;150;150;160;170;170;180;190;190;200;210;210;220;225;225;235;245;245;255;265;265;275;285;285;295;305;305;315;325;325;335;340;340;370;380;390;390;395;400;280;0;460;470
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58
