Probe;Intron;SMAD4E1lncaD;SMAD4E1lncaG;Intron.1;SMAD4E1lncbD;SMAD4E1lncbG;Intron.2;SMAD4E1D;SMAD4E1G;Intron.3;SMAD4E2D;SMAD4E2G;Intron.4;SMAD4E3D;SMAD4E3G;Intron.5;SMAD4E4D;SMAD4E4G;Intron.6;SMAD4Eins4D;SMAD4Eins4G;Intron.7;SMAD4E5D;SMAD4E5G;Intron.8;SMAD4E6D;SMAD4E6G;Intron.9;SMAD4E7D;SMAD4E7G;Intron.10;SMAD4E8D;SMAD4E8G;Intron.11;SMAD4E9D;SMAD4E9G;Intron.12;SMAD4E10D;SMAD4E10G;Intron.13;SMAD4E11D;SMAD4E11G;Intron.14;SMAD4Eins11D;SMAD4Eins11G;Intron.15;SMAD4E12D;SMAD4E12G;Intron.16;SMAD4EIntron8G
Num;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;0;4;0;0;0;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;0;0;0;12;0;0;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno
Size;20;0;5;10;0;5;10;0;10;40;0;10;10;0;10;10;0;5;10;0;5;10;0;10;15;0;10;5;0;10;10;0;10;20;0;10;10;0;10;30;0;10;5;0;5;10;0;50;20;0
Pos;0;20;20;25;35;35;40;50;50;60;100;100;110;120;120;130;140;140;145;155;155;160;170;170;180;195;195;205;210;210;220;230;230;240;260;260;270;280;280;290;320;320;330;335;335;340;350;350;400;255
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
