Probe;Intron;FAN1E1lncD;FAN1E1lncG;Intron.1;FAN1E1D;FAN1E1G;Intron.2;FAN1E2D;FAN1E2aG;FAN1E2G;Intron.3;FAN1Eins2D;FAN1Eins2G;Intron.4;FAN1E3D;FAN1E3G;Intron.5;FAN1E4D;FAN1E4G;Intron.6;FAN1E5D;FAN1E5G;Intron.7;FAN1E6D;FAN1E6G;Intron.8;FAN1E7D;FAN1E7G;Intron.9;FAN1E8D;FAN1E8G;Intron.10;FAN1E9D;FAN1E9G;Intron.11;FAN1E10D;FAN1E10G;Intron.12;FAN1E11D;FAN1E11G;Intron.13;FAN1E12D;FAN1E12G;Intron.14;FAN1E13D;FAN1E13G;Intron.15;FAN1E14D;FAN1E14G;Intron.16;FAN1E15D;FAN1E15G;Intron.17;FAN1EIntron8G;FAN1E2Ar233WTG;FAN1E2Ar233WTD;FAN1E2Ar233GD;FAN1EI41577+75WTG;FAN1EI41577+75WTD;FAN1EI41577+75CD
Num;0;0;0;0;1;0;0;2;0;0;0;0;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;0;0;G233E_E2;0;0;1577+75_I4;0
Type;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P
Size;20;0;10;5;0;10;10;0;10;20;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;20;0;10;10;0;30;20;0;0;0;0;0;0;0
Pos;0;20;20;30;35;35;45;55;55;65;85;95;95;105;115;115;125;135;135;145;155;155;165;175;175;185;195;195;205;215;215;225;235;235;245;255;255;265;275;275;285;295;295;305;315;315;325;345;345;355;365;365;395;230;0;480;490;0;510;520
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58
