Probe;Intron;RNF43E1D;RNF43E1aG;RNF43E1bD;RNF43E1G;Intron.1;RNF43E2D;RNF43E2bD;RNF43E2G;Intron.2;RNF43Eins2D;RNF43Eins2G;Intron.3;RNF43E3D;RNF43E3G;Intron.4;RNF43E4D;RNF43E4G;Intron.5;RNF43E5D;RNF43E5G;Intron.6;RNF43E6D;RNF43E6G;Intron.7;RNF43E7D;RNF43E7_2D;RNF43E7G;Intron.8;RNF43E8D;RNF43E8G;Intron.9;RNF43E9D;RNF43E9G;Intron.10;RNF43E10D;RNF43E10G;Intron.11;RNF43EIntron7G;RNF43E2I47WTG;RNF43E2I47WTD;RNF43E2I47ID;RNF43E9R343WTG;RNF43E9R343WTD;RNF43E9R343RD;RNF43E9L418WTG;RNF43E9L418WTD;RNF43E9L418LD;RNF43E9P686WTG;RNF43E9P686WTD;RNF43E9P686PD;RNF43EI92308+348WTG;RNF43EI92308+348WTD;RNF43EI92308+348GD
Num;0;0;1;0;0;0;0;2;0;0;0;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;7;0;0;8;0;0;9;0;0;10;0;0;0;0;I47V_E2;0;0;R343H_E9;0;0;L418M_E9;0;0;P686R_E9;0;0;GIntron9C;0
Type;I;D;G;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P;S;N;P;S;N;P;S;N;P
Size;20;0;5;5;5;10;0;5;10;20;0;5;30;0;10;25;0;5;5;0;10;10;0;10;15;0;0;10;10;0;10;10;0;20;20;0;30;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;25;30;35;45;45;50;60;80;80;85;115;115;125;150;150;155;160;160;170;180;180;190;205;205;205;215;225;225;235;245;245;265;285;285;315;220;0;400;410;0;430;440;0;460;470;0;490;500;0;520;530
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58
