Probe;Intron;RPS20E1D;RPS20E1G;RPS20E1bG;Intron.1;RPS20E2D;RPS20E2G;Intron.2;RPS20E3D;RPS20E3G;Intron.3;RPS20E4D;RPS20E4aG;RPS20E4G;Intron.4;RPS20E5bD;RPS20E5bG;Intron.5;RPS20E6bD;RPS20E6bG;Intron.6;RPS20EIntron2G;RPS20EI13+57WTG;RPS20EI13+57WTD;RPS20EI13+57CD;RPS20EI14-40WTG;RPS20EI14-40WTD;RPS20EI14-40AD
Num;0;1;0;0;0;2;0;0;3;0;0;4;0;0;0;"""5""";0;0;"""6""";0;0;0;0;CIntron1+57A;0;0;AIntron1-40G;0
Type;I;D;G;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P
Size;20;0;20;10;10;0;10;15;0;10;20;0;10;30;50;0;10;15;0;10;20;0;0;0;0;0;0;0
Pos;0;20;20;40;50;60;60;70;85;85;95;115;115;125;155;205;205;215;230;230;240;80;0;320;330;0;350;360
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
