Probe;Intron.26;BRCA2E1D;BRCA2E1G;Intron.27;BRCA2E2D;BRCA2E2G;Intron.28;BRCA2E3D;BRCA2E3G;Intron.29;BRCA2E4D;BRCA2E4pD;BRCA2E4G;Intron.30;BRCA2E5D;BRCA2E5G;Intron.31;BRCA2E6D;BRCA2E6qG;BRCA2E6G;Intron.32;BRCA2E7D;BRCA2E7G;Intron.33;BRCA2E8D;BRCA2E8G;Intron.34;BRCA2E9D;BRCA2E9G;Intron.35;BRCA2E10D;BRCA2E10G;Intron.36;BRCA2E11D;BRCA2E11G;Intron.37;BRCA2E12D;BRCA2E12G;Intron.38;BRCA2E13D;BRCA2E13G;Intron.39;BRCA2E14D;BRCA2E14G;Intron.40;BRCA2E15D;BRCA2E15G;Intron.41;BRCA2E16D;BRCA2E16G;Intron.42;BRCA2E17D;BRCA2E17G;Intron.43;BRCA2E18D;BRCA2E18G;Intron.44;BRCA2E19D;BRCA2E19G;Intron.45;BRCA2E20D;BRCA2E20G;Intron.46;BRCA2Eins20AD;BRCA2Eins20AG;Intron.47;BRCA2E21D;BRCA2E21G;Intron.48;BRCA2E22D;BRCA2E22G;Intron.49;BRCA2E23D;BRCA2E23pD;BRCA2E23G;Intron.50;BRCA2E24D;BRCA2E24G;Intron.51;BRCA2Eins24BD;BRCA2Eins24BG;Intron.52;BRCA2E25D;BRCA2E25G;Intron.53;BRCA2E26D;BRCA2E26G;Intron.54;BRCA2E27D;BRCA2E27G;Intron.55;BRCA2EN372G;BRCA2EN372WTD;BRCA2EN372HD;BRCA2EK1132G;BRCA2EK1132WTD;BRCA2EK1132KD;BRCA2EV1269G;BRCA2EV1269WTD;BRCA2EV1269VD;BRCA2ES2414G;BRCA2ES2414SWTD;BRCA2ES2414SD;BRCA1Edel2pD;FRYE60G;PDS5BE2D;CCDC200-202E4G;CCDC200-201E3G;VAT1E2D
Num;0;1;0;0;2;0;0;3;0;0;4;0;0;0;5;0;0;6;0;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;16;0;0;17;0;0;18;0;0;19;0;0;20;0;0;0;0;0;21;0;0;22;0;0;23;0;0;0;24;0;0;0;0;0;25;0;0;26;0;0;27;0;0;0;N372H_E10;0;0;K1132K_E11;0;0;V1269V_E11;0;0;S2414S_E14;0;0;0;0;0;0;0
Type;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;S;N;P;S;N;P;S;N;P;S;N;P;plus_dans_mix;trans_splice;trans_splice;trans_splice;trans_splice;trans_splice
Size;20;0;15;20;0;15;20;0;15;20;0;5;10;20;0;15;20;0;5;10;20;0;15;20;0;15;20;0;15;20;0;30;20;0;100;20;0;15;20;0;15;20;0;15;20;0;15;20;0;15;20;0;15;20;0;15;20;0;15;20;0;15;20;0;5;20;0;15;20;0;15;20;0;5;10;20;0;15;20;0;5;20;0;15;20;0;15;20;0;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;35;55;55;70;90;90;105;125;125;130;140;160;160;175;195;195;200;210;230;230;245;265;265;280;300;300;315;335;335;365;385;385;485;505;505;520;540;540;555;575;575;590;610;610;625;645;645;660;680;680;695;715;715;730;750;750;765;785;785;800;820;820;825;845;845;860;880;880;895;915;915;920;930;950;950;965;985;985;990;1010;1010;1025;1045;1045;1060;1080;1080;1095;0;1150;1160;0;1180;1190;0;1210;1220;0;1240;1250;0;0;0;0;0;0
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58
