Probe;Intron;NTHL1E1D;NTHL1E1G;Intron.1;NTHL1E2D;NTHL1E2aG;NTHL1E2G;Intron.2;NTHL1E3D;NTHL1E3G;Intron.3;NTHL1Eins3D;NTHL1Eins3G;Intron.4;NTHL1E4D;NTHL1E4G;Intron.5;NTHL1Eins4D;NTHL1Eins4G;Intron.6;NTHL1E5D;NTHL1E5G;Intron.7;NTHL1E6D;NTHL1E6G;Intron.8;NTHL1EIntron1G
Num;0;1;0;0;2;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;5;0;0;6;0;0;0
Type;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno
Size;20;0;10;20;0;10;15;20;0;10;10;0;5;5;0;10;20;0;5;20;0;10;5;0;25;20;0
Pos;0;20;20;30;50;50;60;75;95;95;105;115;115;120;125;125;135;155;155;160;180;180;190;195;195;220;45
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
