Probe;Intron;POLEE1D;POLEE1G;Intron.1;POLEE2D;POLEE2G;Intron.2;POLEE3D;POLEE3G;Intron.3;POLEE4D;POLEE4G;Intron.4;POLEE5D;POLEE5G;Intron.5;POLEE6D;POLEE6G;Intron.6;POLEEins6D;POLEEins6G;Intron.7;POLEE7D;POLEE7G;Intron.8;POLEE8D;POLEE8G;Intron.9;POLEE9D;POLEE9G;Intron.10;POLEE10D;POLEE10bD;POLEE10G;Intron.11;POLEE11D;POLEE11G;Intron.12;POLEE12D;POLEE12G;Intron.13;POLEE13D;POLEE13G;Intron.14;POLEE14D;POLEE14G;Intron.15;POLEE15D;POLEE15G;Intron.16;POLEE16D;POLEE16G;Intron.17;POLEE17D;POLEE17G;Intron.18;POLEE18D;POLEE18G;Intron.19;POLEE19D;POLEE19G;Intron.20;POLEE20D;POLEE20G;Intron.21;POLEE21D;POLEE21G;Intron.22;POLEE22D;POLEE22G;Intron.23;POLEE23D;POLEE23G;Intron.24;POLEE24D;POLEE24G;Intron.25;POLEE25D;POLEE25G;Intron.26;POLEE26D;POLEE26G;Intron.27;POLEE27aD;POLEE27D;POLEE27G;Intron.28;POLEE28D;POLEE28G;Intron.29;POLEE29D;POLEE29G;Intron.30;POLEE30D;POLEE30G;Intron.31;POLEE31D;POLEE31G;Intron.32;POLEE32D;POLEE32G;Intron.33;POLEE33D;POLEE33G;Intron.34;POLEE34D;POLEE34G;Intron.35;POLEE35D;POLEE35G;POLEE35_2G;Intron.36;POLEE36D;POLEE36G;Intron.37;POLEE37D;POLEE37G;Intron.38;POLEE38D;POLEE38G;Intron.39;POLEE39D;POLEE39G;POLEE39bG;Intron.40;POLEE40D;POLEE40G;Intron.41;POLEE41D;POLEE41G;Intron.42;POLEE42D;POLEE42G;Intron.43;POLEE43D;POLEE43G;Intron.44;POLEE44D;POLEE44G;Intron.45;POLEE45D;POLEE45bD;POLEE45G;Intron.46;POLEE46D;POLEE46G;Intron.47;POLEE47D;POLEE47G;Intron.48;POLEEins47D;POLEEins47G;Intron.49;POLEE48D;POLEE48G;Intron.50;POLEE49D;POLEE49G;Intron.51;POLEEIntron5G;POLEE26T1052WTG;POLEE26T1052WTD;POLEE26T1052TD;POLEE45S2084WTG;POLEE45S2084WTD;POLEE45S2084SD;POLEE46E2140WTG;POLEE46E2140WTD;POLEE46E2140ED
Num;0;1;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;0;0;0;7;0;0;8;0;0;9;0;0;10;0;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;16;0;0;17;0;0;18;0;0;19;0;0;20;0;0;21;0;0;22;0;0;23;0;0;24;0;0;25;0;0;26;0;0;0;27;0;0;28;0;0;29;0;0;30;0;0;31;0;0;32;0;0;33;0;0;34;0;0;35;0;0;0;36;0;0;37;0;0;38;0;0;39;0;0;0;40;0;0;41;0;0;42;0;0;43;0;0;44;0;0;45;0;0;0;46;0;0;47;0;0;0;0;0;48;0;0;49;0;0;0;0;T1052T_E26;0;0;S2084S_E45;0;0;E2140K_E46;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P;S;N;P
Size;20;0;5;30;0;10;10;0;5;10;0;5;5;0;5;10;0;10;8;0;5;7;0;10;5;0;5;10;0;10;10;0;5;5;5;0;5;5;0;10;15;0;10;10;0;10;10;0;10;10;0;10;20;0;10;5;0;10;5;0;10;10;0;10;15;0;10;10;0;10;5;0;10;20;0;10;5;0;10;15;0;10;10;0;10;10;10;0;5;5;0;10;30;0;10;5;0;10;5;0;10;25;0;10;5;0;10;5;0;10;10;5;0;10;5;0;10;5;0;10;5;0;10;10;15;0;10;10;0;10;15;0;10;10;0;10;10;0;10;5;0;5;5;30;0;10;10;0;10;5;0;5;10;0;10;5;0;20;20;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;25;55;55;65;75;75;80;90;90;95;100;100;105;115;115;125;133;133;138;145;145;155;160;160;165;175;175;185;195;195;200;205;210;210;215;220;220;230;245;245;255;265;265;275;285;285;295;305;305;315;335;335;345;350;350;360;365;365;375;385;385;395;410;410;420;430;430;440;445;445;455;475;475;485;490;490;500;515;515;525;535;535;545;555;565;565;570;575;575;585;615;615;625;630;630;640;645;645;655;680;680;690;695;695;705;710;710;720;730;735;735;745;750;750;760;765;765;775;780;780;790;800;815;815;825;835;835;845;860;860;870;880;880;890;900;900;910;915;915;920;925;955;955;965;975;975;985;990;990;995;1005;1005;1015;1020;1020;1040;110;0;1110;1120;0;1140;1150;0;1170;1180
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58
