Probe;Intron;MSH2E1D;MSH2E1aG;MSH2E1bD;MSH2E1G;Intron.1;MSH2E2D;MSH2E2G;Intron.2;MSH2E3D;MSH2E3G;Intron.3;MSH2E4D;MSH2E4G;Intron.4;MSH2E5D;MSH2E5G;Intron.5;MSH2E6D;MSH2E6G;Intron.6;MSH2E7D;MSH2E7G;Intron.7;MSH2E8D;MSH2E8G;Intron.8;MSH2E9D;MSH2E9G;Intron.9;MSH2E10D;MSH2E10G;Intron.10;MSH2E11D;MSH2E11G;Intron.11;MSH2E12D;MSH2E12G;Intron.12;MSH2E13D;MSH2E13G;Intron.13;MSH2E14D;MSH2E14G;Intron.14;MSH2E15D;MSH2E15G;Intron.15;MSH2E16D;MSH2E16G;Intron.16;MSH2E17D;MSH2E17G;Intron.17;MSH2E18D;MSH2E18G;Intron.18;MSH2EIntron13G;MSH2E17WTG;MSH2E17WTD;MSH2E17AD
Num;0;1;0;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;16;0;0;0;0;0;0;0;0;0;0;A29463G_E17;0
Type;I;D;G;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P
Size;20;0;5;5;15;30;0;15;10;0;15;10;0;15;10;0;15;10;0;15;50;0;15;50;0;15;50;0;15;50;0;15;30;0;15;30;0;15;30;0;15;10;0;15;10;0;15;10;0;50;25;0;5;10;0;5;25;0;0;0;0
Pos;0;20;20;25;30;45;75;75;90;100;100;115;125;125;140;150;150;165;175;175;190;240;240;255;305;305;320;370;370;385;435;435;450;480;480;495;525;525;540;570;570;585;595;595;610;620;620;635;645;645;695;720;720;725;735;735;740;590;0;780;790
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58
