Probe;Intron;MLH1E1D;MLH1E1G;Intron.1;MLH1E1bD;MLH1E1bG;Intron.2;MLH1Eins1aD;MLH1Eins1aG;Intron.3;MLH1E2D;MLH1E2G;Intron.4;MLH1Eins2aD;MLH1Eins2aG;Intron.5;MLH1E3D;MLH1E3G;Intron.6;MLH1E4D;MLH1E4G;Intron.7;MLH1E5D;MLH1E5G;Intron.8;MLH1E6D;MLH1E6G;Intron.9;MLH1E7D;MLH1E7G;Intron.10;MLH1E8D;MLH1E8G;MLH1E8_2G;Intron.11;MLH1E9D;MLH1E9G;Intron.12;MLH1E10D;MLH1E10G;Intron.13;MLH1E11D;MLH1E11G;Intron.14;MLH1E12D;MLH1E12G;Intron.15;MLH1E13D;MLH1E13G;Intron.16;MLH1E14D;MLH1E14G;Intron.17;MLH1E15D;MLH1E15G;Intron.18;MLH1E16D;MLH1E16G;Intron.19;MLH1E17D;MLH1E17G;Intron.20;MLH1E18D;MLH1E18G;Intron.21;MLH1E19D;MLH1E19G;Intron.22;MLH1EIntron17G;MLH1ESNPWTG;MLH1ESNPWTD;MLH1ESNPD;MLH1EE19H718WTG;MLH1EE19H718WTD;MLH1EE19H718HD
Num;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;16;0;0;17;0;0;18;0;0;19;0;0;0;0;5'UTR_rs1800734;0;0;E19_H718Y;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P
Size;20;0;15;5;0;5;10;0;5;20;0;15;5;0;5;35;0;15;30;0;15;30;0;15;20;0;15;30;0;15;5;0;15;15;20;0;15;30;0;15;30;0;15;50;0;15;30;0;15;70;0;15;20;0;15;50;0;15;15;0;15;10;0;15;25;0;50;25;0;0;0;0;0;0;0
Pos;0;20;20;35;40;40;45;55;55;60;80;80;95;100;100;105;140;140;155;185;185;200;230;230;245;265;265;280;310;310;325;330;330;330;345;365;365;380;410;410;425;455;455;470;520;520;535;565;565;580;650;650;665;685;685;700;750;750;765;780;780;795;805;805;820;845;845;895;800;0;930;940;0;960;970
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58
