Probe;Intron;TP53E1D;TP53E1G;Intron.1;TP53E2D;TP53E2G;Intron.2;TP53E3D;TP53E3G;Intron.3;TP53E4D;TP53E4G;Intron.4;TP53E5D;TP53E5bD;TP53E5G;Intron.5;TP53E6D;TP53E6G;Intron.6;TP53E7D;TP53E7G;Intron.7;TP53E8D;TP53E8G;Intron.8;TP53E9D;TP53E9G;Intron.9;TP53E9bD;TP53E9gD;TP53E9bgG;Intron.9;TP53E10D;TP53E10G;Intron.10;TP53E11D;TP53E11G;Intron.11;TP53E12D;TP53E12G;Intron.12;TP53E13D;TP53E13G;Intron.13;TP53E14D;TP53E14G;Intron.14;TP53E15D;TP53E15G;Intron.15;TP53EIntron6G;TP53EP72WTG;TP53EP72RG;TP53EP72D
Num;0;1;0;0;2;0;0;3;0;0;4;0;0;5;0;0;0;6;0;0;7;0;0;8;0;0;9;0;0;0;0;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;0;0;E4_P72R;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P
Size;20;0;15;100;0;15;10;0;15;10;0;15;50;0;5;15;10;0;15;30;0;15;25;0;15;10;0;15;10;0;5;10;10;0;15;35;0;50;15;0;10;10;0;5;10;0;5;10;0;5;20;0;0;0;0
Pos;0;20;20;35;135;135;150;160;160;175;185;185;200;250;250;255;270;280;280;295;325;325;340;365;365;380;390;390;405;415;415;420;430;440;440;455;490;490;540;555;555;565;575;575;580;590;590;595;605;605;610;320;0;690;700
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58
