;APCE2G_APCE3D;APCE3G_APCE4D;APCE4G_APCE5D;APCE5G_APCE6D;APCE6G_APCE7D;APCE7G_APCE8D;APCE8G_APCE9D;APCE9G_APCE10D;APCE10G_APCE11D;APCE11G_APCE12D;APCE12G_APCE13D;APCE13G_APCE14D;APCE14G_APCE15D;APCE15G_APCE16D;MLH1E2G_MLH1E3D;MLH1E3G_MLH1E4D;MLH1E4G_MLH1E5D;MLH1E5G_MLH1E6D;MLH1E6G_MLH1E7D;MLH1E7G_MLH1E8D;MLH1E8G_MLH1E9D;MLH1E9G_MLH1E10D;MLH1E10G_MLH1E11D;MLH1E11G_MLH1E12D;MLH1E12G_MLH1E13D;MLH1E13G_MLH1E14D;MLH1E14G_MLH1E15D;MLH1E15G_MLH1E16D;MLH1E16G_MLH1E17D;MLH1E17G_MLH1E18D;MLH1E18G_MLH1E19D;MSH2E2G_MSH2E3D;MSH2E3G_MSH2E4D;MSH2E4G_MSH2E5D;MSH2E5G_MSH2E6D;MSH2E6G_MSH2E7D;MSH2E7G_MSH2E8D;MSH2E8G_MSH2E9D;MSH2E9G_MSH2E10D;MSH2E10G_MSH2E11D;MSH2E11G_MSH2E12D;MSH2E12G_MSH2E13D;MSH2E13G_MSH2E14D;MSH2E14G_MSH2E15D;MSH2E15G_MSH2E16D;MSH2E17G_MSH2E18D;MSH6E2G_MSH6E3D;MSH6E3G_MSH6E4D;MSH6E4G_MSH6E5D;MSH6E5G_MSH6E6D;MSH6E6G_MSH6E7D;MSH6E7G_MSH6E8D;MSH6E8G_MSH6E9D;MSH6E9G_MSH6E10D;MUTYHE2G_MUTYHE3D;MUTYHE3G_MUTYHE4D;MUTYHE4G_MUTYHE5D;MUTYHE5G_MUTYHE6D;MUTYHE6G_MUTYHE7D;MUTYHE7G_MUTYHE8D;MUTYHE8G_MUTYHE9D;MUTYHE9G_MUTYHE10D;MUTYHE10G_MUTYHE11D;MUTYHE11G_MUTYHE12D;MUTYHE12G_MUTYHE13D;MUTYHE13G_MUTYHE14D;MUTYHE14G_MUTYHE15D;MUTYHE15G_MUTYHE16D;PTENE2G_PTENE3D;PTENE3G_PTENE4D;PTENE4G_PTENE5D;PTENE5G_PTENE6D;PTENE6G_PTENE7D;PTENE7G_PTENE8D;PTENE8G_PTENE9D;SMAD4E2G_SMAD4E3D;SMAD4E3G_SMAD4E4D;SMAD4E4G_SMAD4E5D;SMAD4E5G_SMAD4E6D;SMAD4E6G_SMAD4E7D;SMAD4E7G_SMAD4E8D;SMAD4E8G_SMAD4E9D;SMAD4E9G_SMAD4E10D;SMAD4E10G_SMAD4E11D;SMAD4E11G_SMAD4E12D;STK11E2G_STK11E3D;STK11E3G_STK11E4D;STK11E4G_STK11E5D;STK11E5G_STK11E6D;STK11E6G_STK11E7D;STK11E7G_STK11E8D;STK11E8G_STK11E9D;STK11E9G_STK11E10D;TP53E2G_TP53E3D;TP53E3G_TP53E4D;TP53E4G_TP53E5D;TP53E5G_TP53E6D;TP53E6G_TP53E7D;TP53E7G_TP53E8D;TP53E8G_TP53E9D;TP53E9G_TP53E10D;TP53E10G_TP53E11D
3023_Ok_Cocar;11386;28721;37395;16384;51760;46294;42194;28874;27932;19950;31580;34209;23341;27520;15047;10841;17222;16034;10737;5684;16299;7827;9004;9878;20007;14168;7110;3519;7280;8333;9467;10418;13406;17779;14647;11691;8468;6713;9258;5381;6472;6316;7279;9461;3982;32;5913;10895;7836;11502;9310;8945;7825;5502;724;2113;1882;1439;1500;1568;546;345;325;491;844;1834;3902;2708;1477;5800;8633;20086;17256;19511;8289;83426;27732;20060;58300;77263;60185;65926;55988;40042;15746;23008;21487;4537;6561;11739;8715;4512;1125;9388;5000;3158;12023;10915;17648;21588;11039;9335
3024_Ok_Cocar;12382;31611;47603;17197;67674;62345;56981;38212;35182;26756;39720;38169;25738;31424;13250;9583;16051;15413;9068;4826;13655;6420;6962;8341;17743;12246;5204;3301;5929;7702;8792;7939;10309;14334;11158;7570;5419;4281;6330;3112;3999;4061;5003;6492;2425;21;5782;11473;7526;11527;7676;8603;7399;4912;622;1881;1619;1136;1274;1636;395;321;329;306;576;1604;4319;2836;1665;5860;10639;23376;21245;19087;8901;97515;32428;24278;63134;84163;66392;74662;66267;46084;18606;33942;34675;7197;8628;22441;15843;7095;1473;8675;5218;2841;11831;11220;15980;21241;8077;7603
3025_Ok_Cocar;9098;23204;31906;12281;48738;45088;39952;28966;25576;17686;30139;32653;22521;28806;20139;13959;22837;22999;13639;6969;21078;9804;11892;12580;24901;17697;8124;4667;8823;10643;12059;12861;16330;22354;18355;13478;10698;8274;10758;5925;6942;7682;9248;12021;5013;26;5364;12183;10397;14567;10224;11265;10442;7587;899;2506;2371;2103;2239;2505;628;510;507;681;947;2305;4327;2836;1094;3425;6487;14880;13107;13839;6110;87526;28443;19070;48996;69781;55487;72055;60748;45132;17626;29250;26920;5790;7655;18302;13173;6237;1246;14889;7257;4497;17962;15069;24019;30069;13292;11092
3026_Ok_Cocar;11851;30857;42775;15498;63841;60211;55967;39373;34119;30318;45098;47334;34347;44167;15661;10435;17167;17743;10775;5461;15407;7321;8901;10036;18601;14281;6642;4677;7360;8847;10281;10370;13358;19325;14660;10909;8629;7025;9866;5403;6331;6592;8425;11205;5172;29;5118;11345;10835;15129;10064;11358;10755;8571;697;1879;1771;1557;1578;1804;460;325;351;503;721;1688;3219;2279;1243;4836;8702;21836;18528;19580;8867;75261;24910;17270;44518;59494;49646;66144;57425;42628;16390;25760;22715;4965;6575;15762;11210;5867;1129;10706;5831;2891;11871;10344;16423;21162;9153;7601
3027_Ok_Cocar;33906;75965;119062;50450;174385;177304;151114;104296;85438;71877;98383;104102;68085;89574;28030;17318;31105;30872;18828;8016;32503;13396;16282;17657;35923;27559;11752;6465;11645;14786;15357;21356;28225;36399;30316;26475;18322;14174;16371;9251;11209;11848;15033;19871;9836;104;8313;29852;18751;23716;15952;18291;16899;9958;1333;3915;3302;2950;3196;4149;924;699;608;1129;1421;3632;6393;4386;2757;17496;35600;106465;90258;73871;32039;239946;69770;45789;119462;199298;130814;191566;143744;85766;28124;72741;58461;11760;18598;32629;19792;12779;2733;14565;8601;4451;19469;15927;25059;33817;14585;11623
3028_Ok_Cocar;12432;30139;41339;15470;57941;53830;48910;35773;31022;26404;38516;43042;27901;33021;14089;9989;16024;15372;8968;4786;14512;7160;8494;9274;17791;12812;6730;3989;6927;8156;8915;11575;14895;21095;16703;14088;10797;8766;11325;6688;7376;8296;10021;13315;6335;40;4269;9153;9308;12498;9468;9827;8767;6393;824;2170;2349;2007;1958;2523;756;554;451;644;974;1860;3381;2261;1066;3572;6511;15467;13637;14297;6415;69573;23659;16858;40480;56424;45342;61211;51830;41487;15869;26095;23281;5485;7196;15050;10932;5672;1223;9256;4626;2728;10799;8972;14249;18368;8420;6027
3030_Ok_Cocar;48689;112276;183934;75171;247854;233567;224362;154768;134266;98005;138621;137314;93090;117913;58786;40295;73026;74122;43041;18421;74402;31230;39310;45984;95894;70843;27408;16178;26662;36070;39189;39413;50947;68990;59023;42768;27971;22259;27174;14939;18332;19648;24402;31025;12662;121;23415;63787;40071;54469;34613;36169;33542;18567;2704;9717;7817;6709;7005;9711;2321;1331;1466;2165;3856;9195;19043;11226;4629;27472;55805;150218;129813;95435;39733;465933;153231;106940;265021;412449;288706;325780;260374;139513;52087;81290;82128;14801;23857;48788;28338;16661;3828;33097;21264;11001;51131;43072;62785;85657;38965;35020
3031_Ok_Cocar;13968;35616;53929;22312;70576;67475;64939;42414;36977;25912;40327;37896;26984;34937;10361;7582;12500;12056;6952;3751;10186;5458;6305;7645;14820;10605;4756;2701;4953;6690;7289;6833;8466;12406;9663;7226;5117;3911;5227;2601;3558;3670;4197;5498;1954;35;5830;9253;6036;9051;5911;6718;6087;3558;724;2070;1877;1441;1472;1993;548;342;379;437;695;1806;4210;2783;1955;6471;12645;26101;23194;21140;9604;105911;33641;25698;64693;90658;67032;78495;71501;47645;18089;29203;34381;7396;7755;20883;13912;6882;1441;7630;4262;2614;12478;10954;15190;20761;7408;7063
3032_Ok_Cocar;10264;26508;39379;15027;51516;47699;42548;31250;29838;18745;29533;29781;21227;24618;12088;9105;15508;15437;9103;4923;15304;7308;8689;9604;19703;14388;6199;3606;6894;8108;8931;8544;10793;14235;11898;8929;5837;4569;6241;3436;4113;4577;5134;6623;2749;25;8807;18473;10345;13644;9475;9449;8396;4975;993;2528;2191;1569;1660;2118;586;430;454;516;868;2414;5809;4258;1321;5179;8573;17983;19474;13941;5860;95496;36230;26103;76918;114774;85752;86948;73530;52857;20702;25714;25320;5050;7213;15246;11148;5213;1206;10383;5952;3351;13287;12340;17625;22556;9425;8916
3033_Ok_Cocar;9955;25041;38568;16632;51917;50889;44399;31424;30244;21473;32281;31744;22017;26873;16937;12220;20628;19463;11812;6150;17046;7698;8966;10386;21571;16473;6612;4356;8595;10754;12702;15388;20727;30779;24262;17597;13584;10183;14068;8328;9963;10515;12002;16739;7237;71;6609;13535;11229;16622;11627;12998;13334;8974;796;2388;2261;1550;1804;2170;521;317;444;569;922;2028;4649;2682;613;2296;3930;7329;7309;7447;3272;101846;30195;20236;58335;74576;63723;69609;62417;39957;15825;18818;20617;3854;4926;11296;8453;3547;1014;7028;4562;1872;9135;8260;13349;18412;7408;7243
3034_Ok_Cocar;7928;24101;35704;13538;46709;43454;31190;21765;20434;15089;24608;26328;18025;21299;14266;10800;17299;16721;9356;4735;15317;7306;8397;9409;19236;13665;6568;3919;7570;9397;10659;16804;22366;30662;25512;19769;14942;11219;15927;9151;10571;12137;13965;19372;10668;46;5134;10705;10342;14645;10936;11196;11789;8963;664;1977;1721;1395;1533;1656;393;287;350;412;653;1704;4267;2884;526;1904;3360;6675;6578;7323;3142;80506;26112;17482;42176;58511;44366;53711;48560;34333;13972;19965;19122;4095;4738;11580;8447;3957;1010;7298;3910;2006;8921;8224;13157;16544;7348;6428
3035_Ok_Cocar;13588;34652;45282;19365;62505;55120;48704;34944;33607;22972;36550;40945;27885;34515;15656;11471;18953;17926;12021;6164;17195;9043;10155;10672;21791;15787;7867;4562;8298;9365;10390;12616;15923;21820;18454;15794;11187;9247;12063;7338;8463;8586;10418;12684;5698;44;7032;12667;8576;13369;10125;9042;8468;6098;674;1955;1739;1401;1401;1544;453;337;388;460;765;2087;4542;3175;1635;5551;8906;19568;17700;18498;7666;94652;32836;23644;64831;93759;76359;73307;62104;44434;17483;21613;19922;4475;6509;12662;8879;4345;1077;10285;5454;2805;11848;10148;15639;18896;9462;8073
3037_Ok_Cocar;15507;37376;52155;23703;70254;61807;56251;40504;41688;31165;46771;47488;35112;41328;15304;11101;16868;16277;11259;6279;16038;7934;8777;9592;19407;13994;7182;4259;7626;8746;10224;15037;19759;28752;22795;17785;13318;10547;15526;9238;10843;10667;12361;15561;7038;76;8376;14678;10214;15755;12459;11286;9700;7211;661;1701;1526;1186;1260;1246;560;362;337;410;816;1899;4649;3439;1807;7284;9892;21933;20315;22207;10089;97089;32287;23326;73575;89973;79257;77217;68013;50619;20927;30747;29433;6814;8172;17826;13973;6409;1623;10250;6110;3230;12413;10647;15207;18868;8527;8553
3038_Ok_Cocar;12712;30944;42065;18388;57954;53978;47618;36259;36345;28579;41205;44142;32304;36515;13442;10147;14761;14213;9560;4923;15082;7176;8043;8377;16850;12404;6250;4061;6912;7545;9162;11937;15412;21583;17301;14663;10639;8962;12842;7964;8899;9089;10546;13375;6772;30;5647;10688;9109;13466;10177;9637;9085;6821;474;1428;1180;997;1006;1108;379;303;260;363;633;1203;3037;1846;1729;6646;9572;22332;21012;22695;10143;71542;24574;18115;50276;61737;52448;59186;53717;39847;16387;18214;16893;3963;4708;10390;7652;3644;935;7674;4216;2355;9835;8406;12941;15495;8002;6837
3039_Ok_Cocar;10677;27181;39208;15439;57308;53207;50021;36320;35641;25874;39385;41162;29981;36579;12649;9429;14731;13781;9084;4690;13168;6170;7093;7932;16326;12113;6072;3832;6477;7768;9059;9240;11748;17473;13917;10465;8031;6321;9260;5120;5775;6176;7519;9771;4684;21;4977;10221;9564;13745;9523;9711;9639;7264;590;1691;1691;1383;1421;1539;437;286;248;425;658;1584;3323;2055;1684;6054;9787;23759;21122;21924;9553;76453;26761;18432;48072;59505;52531;63161;55628;40076;16221;24160;23311;5100;6253;15736;12063;5642;1166;8225;4623;2419;10675;9313;14697;18869;9076;7488
3040_Ok_Cocar;7418;20782;30913;13362;43573;43516;41734;30350;27630;20924;30153;28494;20885;24507;15011;10485;16288;17156;10557;5190;15444;7321;8797;10700;18118;14818;5594;4954;6661;8805;10536;9936;12267;20282;14856;11141;8414;6442;9741;4778;6277;6193;7182;9675;5044;23;5810;11801;10713;14192;8779;9795;10321;6730;703;1975;1776;1391;1670;1928;654;328;464;655;822;1898;4129;2250;1492;5503;8892;20939;18933;19437;8562;77391;23259;16527;52637;70885;67379;63059;59442;33880;14732;21922;25708;6275;7202;16393;10698;5914;1392;8321;5337;2959;13714;10627;15346;20686;9375;8006
3044_Ok_Cocar;10427;28087;39577;13373;60370;54922;49351;35842;31681;25261;37709;39019;28000;36500;11596;8100;14095;13466;8091;4220;11826;5986;7097;7975;15145;11504;5239;3850;6026;7764;8783;9672;12136;18718;14831;10653;8298;6612;9593;4826;5669;6179;7842;10240;4872;38;5892;12313;9118;13876;9147;9567;9517;6564;469;1408;1294;1104;1208;1273;368;275;228;444;622;1429;3528;2267;1309;4038;8676;24180;22197;15157;7185;84920;30322;21129;54377;73357;60679;69568;61223;39594;16379;30076;29894;6115;8034;19291;13340;7051;1270;8385;4553;2709;11755;10389;15072;18881;8832;7220
3046_Ok_Cocar;13477;33408;46464;18347;62234;57019;51597;38694;35767;24390;38674;40059;29973;37372;14126;10380;16821;15906;10364;5576;15820;7119;8396;9382;18937;14300;6437;4564;7115;8205;10197;12763;15922;23108;18952;14278;9976;8327;11921;6613;7529;7501;9667;12269;5134;53;7464;11470;9369;14600;10604;10324;9721;6963;747;2016;1716;1473;1456;1742;428;297;381;479;750;2050;4936;3461;1653;5829;9217;20896;18387;20094;8589;105633;35571;24931;68727;89838;73698;76035;64585;43034;17647;22050;21874;4368;6210;13033;9350;4508;1210;9577;5257;3117;12654;11883;17239;21744;10902;9706
3047_Ok_Cocar;14685;36279;48609;21506;64457;56199;51647;39377;39818;28174;42639;44339;33638;40983;14406;10524;16598;16194;11525;5963;17282;8745;9587;10543;19380;14259;6820;4187;7197;8178;9380;15725;19479;28071;23147;18421;13493;10613;15493;9407;10601;9938;11599;15029;7182;14;6944;13111;10214;13600;10193;8923;8442;6038;626;1498;1324;1003;1104;1254;657;412;469;642;782;1568;3279;1947;1757;6371;8691;21095;19450;19546;8376;96006;34153;23833;76385;113013;101505;82867;67169;40480;16037;28033;26223;6729;9958;16463;11639;6925;1503;9232;5565;3628;13426;10287;15826;18387;9555;7786
3049_Ok_Cocar;13152;32774;45627;17983;67241;59319;54899;40754;37883;27265;43380;46055;33608;40499;16520;11491;18858;18799;11460;6212;18005;8973;9987;11043;21680;15326;7336;4524;8206;9469;11244;10888;14463;19945;16347;12381;9425;7373;10987;6013;6815;7356;9034;11219;5135;23;8307;15777;11484;16044;11731;12032;11436;7718;882;2159;2034;1782;1783;1940;597;353;355;491;853;2208;5058;3971;1766;5560;9285;21657;19157;20075;8976;96812;33463;25259;59934;78717;65161;79261;68787;51269;21714;25741;24520;5124;7118;15779;11708;5634;1238;12863;6456;3908;15900;14632;21978;26901;12403;10652
3050_Ok_Cocar;13789;32482;46067;21632;57399;48496;44872;32966;33478;22196;34185;35271;23817;26878;16305;12917;20529;19328;12527;7163;20605;10291;11441;12880;25371;18825;8034;4668;8421;9855;11114;11215;14862;19937;17461;13831;8962;6955;10166;5971;7026;7044;8163;9561;4026;40;7885;12229;8242;13298;10382;9252;7650;4988;1108;2933;2372;1847;2056;2191;872;596;513;663;1341;2457;6085;4226;1926;7304;9236;17361;16328;18028;7078;103155;39038;29127;87820;126295;101110;84564;74492;57869;23926;28600;28161;6139;8811;15279;11978;5829;1538;12357;7450;4399;16116;12931;19067;23426;11171;10373
3051_Ok_Cocar;13350;31176;44463;21860;48394;42606;36913;27609;30382;18056;31758;32710;24615;28093;17456;14255;21852;19986;13639;7998;22445;11248;12459;13222;25334;19451;8779;5485;9894;11479;12784;14594;19547;26850;23065;19854;12938;10576;15033;9888;11234;11053;12173;16057;8138;32;10231;14548;12903;17258;14393;12842;12731;7932;1239;2725;2203;1677;1719;2180;797;588;565;689;1191;2665;6913;5018;884;3395;3845;7068;7526;8334;3541;101655;36889;27586;81580;108333;86914;74058;70658;52738;23250;18546;18263;3988;6202;10395;7935;3823;1117;10900;6920;3970;14745;12362;17747;20945;10956;10485
3052_Ok_Cocar;11568;27977;38815;15252;53537;46661;42701;30783;29698;21063;32864;35340;23478;23919;14430;10666;16571;16297;10088;5534;16448;7620;8562;9870;19191;14629;6615;3166;7248;9122;9889;10317;13486;19257;15397;12564;9523;7225;10261;5997;6830;7430;8728;11399;5317;35;4582;6954;6574;10869;8864;8373;7883;5578;659;1935;1947;1525;1534;1767;505;376;399;490;713;1716;3869;2259;1514;5433;8203;17202;15839;17520;7616;78395;27183;18038;53419;69205;57003;66287;60235;44646;18150;31230;30062;6304;8613;17997;13050;6524;1441;7273;4138;2290;9339;7891;12897;15785;6974;6003
3053_Ok_Cocar;13359;33213;48045;18658;64217;59096;61146;41251;37650;28657;43983;41557;31138;40126;13485;10934;16576;16745;9847;5389;13930;7796;8252;10745;18752;14940;6676;3463;7409;9414;10861;9442;11580;18714;14048;10083;8265;6620;9621;4799;6119;6668;8003;9879;4921;49;7329;11264;9612;15769;9929;10606;10857;7992;581;1977;1913;1474;1400;1600;568;333;383;483;779;1782;3934;2645;2009;5912;11332;26547;22914;23041;10574;96254;32229;22775;56288;83256;63798;74772;68725;47451;17352;28230;29479;6423;7266;18333;11830;6261;1450;10491;5510;3251;14757;12699;17770;23116;9681;7239
3054_Ok_Cocar;9933;26662;39250;14881;58477;53231;50867;36914;33925;24698;39521;38596;29366;37408;14894;10178;16945;16235;9970;5375;14310;6989;8043;9430;19194;14211;6413;3429;7284;9361;10267;9830;12584;18759;14568;10018;7635;5878;8599;4453;5506;5677;7403;9727;4338;42;6053;8897;10456;15407;10637;11137;10338;7270;737;2177;2076;1654;1771;1915;566;414;361;484;776;2091;4227;3069;1456;4584;8446;22630;23450;16395;7557;87147;30558;22139;54404;70034;59429;70346;64009;44730;17875;32730;32973;7023;8719;22168;15630;7654;1505;11567;5998;3346;14834;13626;20605;26248;11873;9635
3055_Ok_Cocar;10811;26217;38150;15988;51438;48582;45274;32942;32400;23956;35534;34126;25008;28231;14245;10103;15408;15805;10657;5141;15423;6636;7657;9659;18211;14162;5618;3188;6307;7656;8768;9071;11558;17754;13583;10307;6881;5527;8523;4560;5434;5423;6269;8429;3571;30;5789;11609;8966;12930;8982;9313;8134;5452;606;1794;1537;1303;1289;1494;475;371;411;447;900;1714;3528;2288;1848;6369;9165;20874;19146;19638;8574;82397;26582;18148;65911;88247;82329;68730;59772;36539;14718;39104;39770;9428;12392;21735;15614;8952;2216;9382;5758;3760;14132;11204;17164;20493;10351;9426
3056_Ok_Cocar;10713;27952;41670;14692;57688;51392;47716;33169;31457;21582;32344;32322;22224;27740;12239;9444;15442;14856;8909;4991;14775;6699;7688;9214;18460;13839;5473;3046;5957;7881;8320;9013;11311;15664;13242;9035;6212;4678;6907;3705;4355;4706;5532;7302;2521;46;6663;12593;8082;12247;8126;8628;7354;4747;739;2066;1700;1332;1437;1610;510;355;384;471;755;1882;4697;3099;2142;7286;11228;22682;20027;21042;8867;93624;33127;25288;70216;97432;76179;81941;68407;47647;19256;28273;28691;5788;7921;15808;11673;5365;1313;8806;5089;3016;11898;10939;15152;19810;8857;8099
3057_Ok_Cocar;11381;29275;43425;17229;57839;52056;48402;33069;33352;22704;34924;33498;23917;29400;11774;8546;13726;12949;7919;4608;12849;6169;6890;7449;16397;11667;4788;2943;5569;6944;7769;7082;8732;12628;9618;6911;4896;3681;5580;2777;3527;3526;4448;5473;2117;40;6424;9840;7295;11685;8045;8095;6907;4497;671;1774;1524;1172;1244;1385;450;273;304;335;569;1720;3709;2135;2168;7586;11533;23343;21481;19588;9129;85133;31661;24023;62526;79220;62597;72247;63156;47044;18835;23538;23472;4829;5611;14269;10184;4544;1111;7915;4491;2356;10496;9798;13981;18387;7543;7235
3058_Ok_Cocar;3936;11544;17865;6896;21504;20764;16739;11689;12600;10738;13114;12150;8338;9947;4328;3182;5776;4960;3061;1823;4532;2230;2725;3261;6349;4690;1834;1172;2115;2629;3231;4582;5314;8805;6318;4409;3308;1986;3619;1567;1920;2111;2419;3153;1233;17;2370;4854;3885;5415;3100;2944;2978;2063;322;993;756;642;647;871;288;197;116;203;235;752;1955;1040;1829;6212;10010;19081;16560;16028;6431;43908;16903;10679;38210;57411;45700;40141;36471;21114;8485;31618;33093;7232;9411;20473;10647;8245;1286;3064;2403;1263;5894;4257;6668;8594;3721;2791
3059_Ok_Cocar;8034;21299;32070;11654;45151;41876;38798;27676;25532;17738;27121;27624;19506;24605;13803;10096;16772;16062;9524;5300;15677;7770;8858;10647;21238;15180;6722;3833;7678;9059;10100;11173;13461;19453;15586;11028;7956;6283;8875;4445;5448;5762;6942;8648;3729;37;5240;10945;7987;11415;7659;7781;7220;4297;808;2413;2250;1808;1927;2114;688;475;449;561;872;2158;4852;3384;1562;5777;10750;22438;22978;15567;7553;76864;29012;20876;54965;76256;60302;69556;60269;41559;16640;29586;29604;6351;8013;18683;13034;6748;1333;11085;6781;3666;15545;13771;21296;27179;12227;10010
3060_Ok_Cocar;11340;29771;43390;16076;55291;48638;44802;33039;29146;20772;31739;31385;22638;28019;13539;9954;16558;15891;9514;5206;14423;7749;8368;9692;19454;14300;6289;2966;6762;8336;9293;10871;13204;18644;15758;11361;7560;6007;8697;4634;5239;5441;6643;8410;3674;32;7287;15044;8622;12661;9307;9049;8105;4983;749;2340;1931;1408;1552;1710;520;413;473;620;885;2141;4659;2751;1961;6462;10958;20871;19070;19067;8226;95139;35934;26991;70001;95310;71224;78274;69576;49239;20867;30306;30635;6365;8681;18954;13767;6438;1302;12276;6714;4242;17041;16689;23585;30451;13218;10951
3061_Ok_Cocar;13764;32512;49001;24903;56676;51818;53447;37997;37756;27625;36522;34931;25555;29705;11758;9006;13514;13653;9144;5129;14005;7226;7831;10337;17466;13073;5294;2844;5481;6642;8013;7957;9993;15108;11768;8931;6248;4943;7027;3938;5101;4675;5243;6661;2525;39;6126;12280;7187;9622;6589;6631;5954;3186;704;2040;1604;958;1129;1579;560;309;407;503;813;1869;4072;2192;2801;10653;13864;25462;24029;24485;10059;107642;35509;25871;85606;115331;104070;83207;77019;49811;20237;18495;23649;5150;6411;12695;8710;4390;1211;9143;6624;3495;14177;11020;14367;18649;8495;8119
3062_Ok_Cocar;14856;34967;50903;21905;59343;49954;47843;35424;35750;25585;37257;37033;26549;29600;13142;9829;15361;15301;10726;5652;16515;7906;8983;10242;20261;14741;6265;3367;6890;7867;8652;10840;14098;19743;15706;12499;8366;6394;9837;5241;6270;6253;6575;8667;3713;28;7841;12564;7882;10893;7653;7219;6422;4260;898;1915;1663;1332;1382;1726;628;410;379;472;998;1900;4365;2942;2375;7862;11546;25245;24046;17931;8329;95083;35615;27545;83166;108919;91910;77081;69931;50384;21312;24897;25947;5879;8254;14817;10724;5943;1472;9937;6246;3913;14708;12079;17563;21803;10912;9518
3063_Ok_Cocar;13090;33773;49604;19196;66999;58717;57234;41993;39401;28178;43761;42790;31623;37426;17592;12105;19504;19061;12447;6529;18280;8610;9296;11331;23026;16918;6970;3789;7842;9482;10876;11978;15412;23629;18362;13012;9156;7050;10896;5773;7118;6974;8291;10950;4251;60;7946;15835;11444;17013;11921;11773;11316;7452;916;2189;1998;1606;1617;1943;663;419;417;513;982;2341;6002;3760;1675;5856;9070;20191;18414;18203;8425;114340;39841;28535;84762;103721;90042;92406;84636;55970;23392;34585;34754;7537;10328;20478;14092;7222;1708;12709;7435;4152;17714;15086;21170;25542;12715;11403
3064_Ok_Cocar;6790;16746;25123;10746;33770;34318;30566;22258;23210;16172;26074;24014;18818;22448;9860;6756;10941;11022;7690;3225;11017;4764;5447;7020;12943;9687;3936;2464;4689;5580;6650;5833;7953;11846;9019;6400;4695;3730;5614;3000;3713;3459;4388;5630;2686;26;3198;7733;5637;8033;5455;5327;5071;3507;385;833;856;695;729;816;259;205;224;328;508;987;2313;1354;1155;10179;15923;45138;43492;31401;17105;56280;17985;13037;43341;53706;46193;45541;40591;25568;10273;15702;17052;4382;4763;8100;6921;2990;1075;6331;3308;2493;8687;7386;10540;12567;6415;6154
3065_Ok_Cocar;9672;26505;38639;13344;52502;51783;47219;36476;30940;21736;34400;33552;26156;33706;9305;6371;11624;11508;6984;2978;10759;5027;5617;6747;12435;9936;4189;2690;4654;6100;7169;7081;8985;13783;10817;7680;5552;4371;6002;2898;3842;4104;4880;6878;3003;39;4177;11265;8029;10523;6749;6871;6589;4462;369;942;844;743;694;885;266;174;204;301;399;1196;2702;1612;2268;14824;29855;87312;75204;57703;28710;82914;27302;19213;52945;76928;59629;64333;60670;37586;15139;18191;19354;4393;5248;11188;8054;3889;845;6516;3154;2328;10037;9138;12348;15315;6987;6611
3066_Ok_Cocar;18150;46783;66796;23892;88908;87509;79781;59779;51801;41087;59734;60521;43863;52809;15342;10706;18871;18192;11249;4956;18637;8462;9343;11495;21043;16483;6403;4194;7065;9042;9973;9758;12215;19009;14901;10611;7723;5641;7834;3907;4843;5480;6442;8604;3753;36;7282;17519;13685;17466;10867;11437;11005;7720;599;1727;1444;1149;1487;1616;588;361;505;565;816;1931;3922;2787;1991;12562;24420;69578;59389;47143;23821;134840;45857;32803;96435;140903;106426;112327;102795;63135;25081;31131;32545;7924;9481;18152;13548;6766;1580;12445;5801;4951;20136;15893;22862;28786;13563;12250
3068_Ok_Cocar;17573;50609;68787;18990;107258;101145;91630;67596;53265;39690;61565;66997;47124;66920;20034;14318;28419;27346;14062;6113;22879;12208;14523;17797;31346;24810;10723;8308;11580;15194;15299;18477;21985;32699;28070;18293;13994;10745;14338;6802;8030;10511;13352;17217;7886;48;8431;24261;17366;23735;13023;14099;13995;9911;1131;3255;2683;2785;3164;3299;947;660;802;1129;1686;3825;7134;4868;1753;10900;27997;81961;62557;54994;25373;171962;63210;43188;99880;183017;130338;141465;127311;80808;32657;50490;48996;11698;15551;30151;21962;11601;2330;33010;12815;11225;47086;37522;54711;64435;31719;25109
3070_Ok_Cocar;6856;16688;25728;10131;32104;32423;28843;22191;21289;12943;20836;19992;15468;18805;8019;5918;9892;7872;4622;2652;10079;4635;5224;6543;12182;9256;3557;2236;4213;5132;6073;4635;7018;10459;8689;6218;4446;3281;4618;2411;3042;3040;3472;4761;2059;12;3507;8699;6241;7607;4725;4997;4794;2925;497;1360;1117;858;930;1125;441;200;342;316;661;1426;2892;1620;2782;18107;30787;76536;72322;54804;26478;65309;22431;16756;49544;64039;48565;54301;51351;32207;14126;26070;29621;7564;8744;16469;12549;6483;1474;7978;4473;3389;13183;10371;14821;18929;8366;8401
