Probe;Intron;POLD1E1D;POLD1E1G;Intron.1;POLD1Eins1D;POLD1Eins1G;Intron.2;POLD1E2D;POLD1E2G;Intron.3;POLD1E3D;POLD1E3G;Intron.4;POLD1E4D;POLD1E4_2D;POLD1E4G;Intron.5;POLD1E5D;POLD1E5G;Intron.6;POLD1E6D;POLD1E6G;Intron.7;POLD1E7D;POLD1E7G;Intron.8;POLD1E8D;POLD1E8G;Intron.9;POLD1E9D;POLD1E9G;Intron.10;POLD1E10D;POLD1E10G;Intron.11;POLD1E11D;POLD1E11G;Intron.12;POLD1E12D;POLD1E12G;Intron.13;POLD1E13D;POLD1E13G;Intron.14;POLD1E14D;POLD1E14G;Intron.15;POLD1E15bD;POLD1E15D;POLD1E15G;Intron.16;POLD1E16D;POLD1E16G;Intron.17;POLD1E17D;POLD1E17aG;POLD1E17G;Intron.18;POLD1Eins17D;POLD1Eins17G;Intron.19;POLD1E18D;POLD1E18G;Intron.20;POLD1E19D;POLD1E19G;Intron.21;POLD1E20D;POLD1E20G;Intron.22;POLD1E21D;POLD1E21aG;POLD1E21G;Intron.23;POLD1E22D;POLD1E22G;Intron.24;POLD1E23D;POLD1E23G;Intron.25;POLD1E24D;POLD1E24G;Intron.26;POLD1E25D;POLD1E25G;Intron.27;POLD1E26D;POLD1E26G;Intron.28;POLD1E27D;POLD1E27G;Intron.29;POLD1EIntron10G;POLD1E4R119WTG;POLD1E4R119WTD;POLD1E4R119RD
Num;0;1;0;0;0;0;0;2;0;0;3;0;0;4;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;0;15;0;0;16;0;0;17;0;0;0;0;0;0;18;0;0;19;0;0;20;0;0;21;0;0;0;22;0;0;23;0;0;24;0;0;25;0;0;26;0;0;27;0;0;0;0;R119H_E4;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P
Size;20;0;5;40;0;10;15;0;10;10;0;10;20;0;0;10;5;0;10;5;0;10;5;0;10;5;0;10;10;0;10;10;0;10;20;0;10;5;0;10;10;0;10;5;0;10;15;0;5;10;10;0;10;10;0;5;10;10;0;5;15;0;10;10;0;10;10;0;10;10;0;10;5;5;0;10;10;0;10;5;0;10;10;0;5;5;0;10;10;0;10;20;0;0;0;0
Pos;0;20;20;25;65;65;75;90;90;100;110;110;120;140;140;140;150;155;155;165;170;170;180;185;185;195;200;200;210;220;220;230;240;240;250;270;270;280;285;285;295;305;305;315;320;320;330;345;345;350;360;370;370;380;390;390;395;405;415;415;420;435;435;445;455;455;465;475;475;485;495;495;505;510;515;515;525;535;535;545;550;550;560;570;570;575;580;580;590;600;600;610;265;0;690;700
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58
