Probe;Intron;MSH3E1D;MSH3E1G;Intron.1;MSH3Eins1D;MSH3Eins1aG;MSH3Eins1bG;Intron.2;MSH3E2D;MSH3E2G;Intron.3;MSH3E3D;MSH3E3G;Intron.4;MSH3E4D;MSH3E4G;Intron.5;MSH3E5D;MSH3E5G;Intron.6;MSH3E6D;MSH3E6G;Intron.7;MSH3E7D;MSH3E7G;Intron.8;MSH3E8D;MSH3E8G;Intron.9;MSH3Eins8D;MSH3Eins8G;Intron.10;MSH3E9D;MSH3E9G;Intron.11;MSH3E10D;MSH3E10G;Intron.12;MSH3E11D;MSH3E11G;Intron.13;MSH3E12D;MSH3E12G;Intron.14;MSH3E13D;MSH3E13G;Intron.15;MSH3E14D;MSH3E14G;Intron.16;MSH3E15D;MSH3E15G;Intron.17;MSH3E16D;MSH3E16G;Intron.18;MSH3E17D;MSH3E17G;Intron.19;MSH3E18D;MSH3E18G;Intron.20;MSH3E19D;MSH3E19G;Intron.21;MSH3E20D;MSH3E20G;Intron.22;MSH3Eins20aD;MSH3Eins20aG;Intron.23;MSH3Eins20bD;MSH3Eins20bG;Intron.24;MSH3E21D;MSH3E21G;Intron.25;MSH3E22D;MSH3E22G;Intron.26;MSH3E23D;MSH3E23_2D;MSH3E23G;Intron.27;MSH3E24D;MSH3E24G;Intron.28;MSH3EIntron16G;MSH3E5UTRWTG;MSH3E5UTRWTD;MSH3E5UTRAD;MSH3E1P231WTG;MSH3E1P231WTD;MSH3E1P231PD
Num;0;1;0;0;0;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;0;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;16;0;0;17;0;0;18;0;0;19;0;0;20;0;0;0;0;0;0;0;0;21;0;0;22;0;0;23;23;0;0;24;0;0;0;0;5UTRA_E1;0;0;P231P_E4;0
Type;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;G;I;D;G;I;Geno;S;N;P;S;N;P
Size;20;0;10;10;0;5;5;10;0;10;10;0;10;10;0;10;5;0;10;5;0;10;5;0;10;10;0;10;20;0;5;10;0;10;10;0;10;15;0;10;10;0;10;15;0;10;10;0;10;5;0;10;10;0;10;10;0;10;10;0;10;10;0;10;15;0;10;10;0;5;15;0;5;10;0;10;10;0;10;10;0;0;10;5;0;20;20;0;0;0;0;0;0;0
Pos;0;20;20;30;40;40;45;50;60;60;70;80;80;90;100;100;110;115;115;125;130;130;140;145;145;155;165;165;175;195;195;200;210;210;220;230;230;240;255;255;265;275;275;285;300;300;310;320;320;330;335;335;345;355;355;365;375;375;385;395;395;405;415;415;425;440;440;450;460;460;465;480;480;485;495;495;505;515;515;525;535;535;535;545;550;550;570;370;0;650;660;0;680;690
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58
