Probe;Intron;GALNT12E1D;GALNT12E1G;GALNT12E1_2G;Intron.1;GALNT12E2D;GALNT12E2G;Intron.2;GALNT12E3D;GALNT12E3G;Intron.3;GALNT12E4D;GALNT12E4G;Intron.4;GALNT12E5D;GALNT12E5G;Intron.5;GALNT12E6D;GALNT12E6G;Intron.6;GALNT12E7D;GALNT12E7G;Intron.7;GALNT12E8D;GALNT12E8G;Intron.8;GALNT12E9D;GALNT12E9G;Intron.9;GALNT12Eins9D;GALNT12Eins9G;Intron.10;GALNT12E10D;GALNT12E10G;Intron.11;GALNT12EIntron3G;GALTN12E1G46WTG;GALTN12E1G46WTD;GALTN12E1G46GD;GALTN12E10S569WTG;GALTN12E10S569WTD;GALTN12E10S569SD
Num;0;1;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;0;0;0;10;0;0;0;0;G46R_E1;0;0;S569S_E10;0
Type;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P
Size;20;0;15;15;20;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;5;5;0;20;20;0;0;0;0;0;0;0
Pos;0;20;20;20;35;55;55;65;75;75;85;95;95;105;115;115;125;135;135;145;155;155;165;175;175;185;195;195;205;215;215;220;225;225;245;90;0;330;340;0;360;370
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58
