Probe;Intron;MUTYHE1lncaD;MUTYHE1lncaG;Intron.1;MUTYHE1lncbD;MUTYHE1lncbG;Intron.2;MUTYHE1D;MUTYHE1G;Intron.3;MUTYHEins1D;MUTYHEins1G;Intron.4;MUTYHE1lnccD;MUTYHE1lnccG;Intron.5;MUTYHE2D;MUTYHE2G;Intron.6;MUTYHE3aD;MUTYHE3D;MUTYHE3bD;MUTYHE3G;Intron.7;MUTYHE4D;MUTYHE4G;Intron.8;MUTYHE5D;MUTYHE5G;Intron.9;MUTYHE6D;MUTYHE6G;Intron.10;MUTYHE7D;MUTYHE7G;Intron.11;MUTYHE8D;MUTYHE8G;Intron.12;MUTYHE9D;MUTYHE9G;Intron.13;MUTYHE10D;MUTYHE10G;Intron.14;MUTYHE11D;MUTYHE11G;Intron.15;MUTYHE12D;MUTYHE12G;Intron.16;MUTYHE13D;MUTYHE13G;Intron.17;MUTYHE14D;MUTYHE14G;Intron.18;MUTYHE15D;MUTYHE15G;Intron.19;MUTYHEins15D;MUTYHEins15G;Intron.20;MUTYHE16D;MUTYHE16G;Intron.21;MUTYHEIntron10G
Num;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;11;0;0;12;0;0;13;0;0;14;0;0;15;0;0;0;0;0;16;0;0;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;D;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno
Size;20;0;5;5;0;5;5;0;10;15;0;5;20;0;5;10;0;10;15;0;5;5;5;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;10;0;10;15;0;10;10;0;5;10;0;10;20;0
Pos;0;20;20;25;30;30;35;40;40;50;65;65;70;90;90;95;105;105;115;130;130;135;140;145;155;155;165;175;175;185;195;195;205;215;215;225;235;235;245;255;255;265;275;275;285;295;295;305;315;315;325;335;335;345;355;355;365;380;380;390;400;400;405;415;415;425;290
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
