Probe;Intron;GREM1E1D;GREM1E1G;Intron.1;GREM1Eins1D;GREM1Eins1G;Intron.2;GREM1E2D;GREM1E2bG;GREM1E3D;GREM1E2G;Intron.3;GREM1EIntron1G;GREM1E3UTRWTG;GREM1E3UTRWTD;GREM1E3UTRD
Num;0;1;0;0;0;0;0;2;0;0;0;0;0;0;3UTR_E2;0
Type;I;D;G;I;D;G;I;D;G;D;G;I;Geno;S;N;P
Size;20;0;10;10;0;10;30;0;10;10;50;20;0;0;0;0
Pos;0;20;20;30;40;40;50;80;80;90;100;150;75;0;230;240
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58
