Probe;Intron;EPCAME1lncD;EPCAME1lncG;Intron.1;EPCAME2lncD;EPCAME2lncG;Intron.2;EPCAME1D;EPCAME1G;EPCAME1bG;Intron.3;EPCAME2D;EPCAME2G;Intron.4;EPCAME3D;EPCAME3G;Intron.5;EPCAME4D;EPCAME4G;Intron.6;EPCAME5D;EPCAME5G;Intron.7;EPCAME6D;EPCAME6G;Intron.8;EPCAME7D;EPCAME7G;Intron.9;EPCAME8D;EPCAME8G;Intron.10;EPCAME9D;EPCAME10G;EPCAME9G;Intron.11;EPCAME11D;EPCAME11G;Intron.12;EPCAMEintron6G;EPCAME3M115WTG;EPCAME3M115WTD;EPCAME3M115MD
Num;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;0;11;0;0;0;0;M115T_E3;0
Type;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;Geno;S;N;P
Size;20;0;10;10;0;10;10;0;10;10;20;0;10;10;0;15;10;0;10;10;0;10;10;0;10;10;0;15;25;0;10;10;0;15;10;10;0;5;20;0;0;0;0
Pos;0;20;20;30;40;40;50;60;60;70;80;100;100;110;120;120;135;145;145;155;165;165;175;185;185;195;205;205;220;245;245;255;265;265;280;290;300;300;305;200;0;400;410
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58
