Probe;Intron;MSH6E1lncD;MSH6E1lncG;Intron.1;MSH6E2lncD;MSH6E2lncG;Intron.2;MSH6E3lncD;MSH6E3lncG;Intron.3;MSH6E1D;MSH6E1aG;MSH6E1G;Intron.4;MSH6Eins1aD;MSH6Eins1aG;Intron.5;MSH6Eins1bD;MSH6Eins1bG;Intron.6;MSH6E2D;MSH6E2G;Intron.7;MSH6E3D;MSH6E3G;Intron.8;MSH6E4D;MSH6E4G;Intron.9;MSH6E5D;MSH6E5G;Intron.10;MSH6E6D;MSH6E6G;Intron.11;MSH6E7D;MSH6E7G;Intron.12;MSH6E8D;MSH6E8G;Intron.13;MSH6E9D;MSH6E9G;Intron.14;MSH6E10D;MSH6E10G;Intron.15;MSH6EIntron3G;MSH6EE1G39WTG;MSH6EE1G39WTD;MSH6EE1G39ED;MSH6EE1R62WTG;MSH6EE1R62WTD;MSH6EE1R62RD;MSH6EE3D180WTG;MSH6EE3D180WTD;MSH6EE3D180DD
Num;0;-3;0;0;-2;0;0;-1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;4;0;0;5;0;0;6;0;0;7;0;0;8;0;0;9;0;0;10;0;0;0;0;E1_G39E;0;0;E1_R62R;0;0;E3_D180D;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno;S;N;P;S;N;P;S;N;P
Size;20;0;15;100;0;15;100;0;15;100;0;15;5;5;0;5;10;0;5;50;0;15;50;0;15;30;0;50;30;0;15;20;0;15;10;0;15;10;0;15;5;0;15;5;0;50;25;0;0;0;0;0;0;0;0;0;0
Pos;0;20;20;35;135;135;150;250;250;265;365;365;380;385;390;390;395;405;405;410;460;460;475;525;525;540;570;570;620;650;650;665;685;685;700;710;710;725;735;735;750;755;755;770;775;775;825;565;0;860;870;0;890;900;0;920;930
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58;58;58;58;58;58;58;58;58;58
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
