Probe;Intron;PTENE1D;PTENE1G;Intron.1;PTENEins1D;PTENEins1G;Intron.2;PTENE2D;PTENE2G;Intron.3;PTENE3D;PTENE3G;Intron.4;PTENEins3D;PTENEins3G;Intron.5;PTENE4D;PTENE4G;Intron.6;PTENE5D;PTENE5G;Intron.7;PTENEins5D;PTENEins5G;Intron.8;PTENE6D;PTENE6G;Intron.9;PTENE7D;PTENE7G;Intron.10;PTENE8D;PTENE8G;Intron.11;PTENE9D;PTENE9G;Intron.12;PTENEIntron6G
Num;0;1;0;0;0;0;0;2;0;0;3;0;0;0;0;0;4;0;0;5;0;0;0;0;0;6;0;0;7;0;0;8;0;0;9;0;0;0
Type;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno
Size;20;0;20;5;0;5;35;0;5;45;0;5;5;0;5;10;0;5;10;0;10;15;0;5;15;0;10;15;0;10;10;0;10;15;0;50;20;0
Pos;0;20;20;40;45;45;50;85;85;90;135;135;140;145;145;150;160;160;165;175;175;185;200;200;205;220;220;230;245;245;255;265;265;275;290;290;340;240
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
