Probe;Intron;RAD51CE1D;RAD51CE1aG;RAD51CE1bG;RAD51CE1G;Intron.1;RAD51CEins1D;RAD51CEins1aG;RAD51CEins1bG;Intron.2;RAD51CE2D;RAD51CE2G;Intron.3;RAD51CE3D;RAD51CE3G;Intron.4;RAD51CEins3D;RAD51CEins3G;Intron.5;RAD51CE4D;RAD51CE4G;Intron.6;RAD51CEins4D;RAD51CEins4G;Intron.7;RAD51CE5D;RAD51CE5G;Intron.8;RAD51CEins5D;RAD51CEins5G;Intron.9;RAD51CE6D;RAD51CE6G;Intron.10;RAD51CE7D;RAD51CE7G;Intron.11;RAD51CEins7D;RAD51CEins7G;Intron.12;RAD51CE8D;RAD51CE8G;Intron.13;RAD51CE9D;RAD51CE9G;Intron.14;RAD51CEIntron2G
Num;0;1;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;6;0;0;7;0;0;0;0;0;8;0;0;9;0;0;0
Type;I;D;G;G;G;I;D;G;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;D;G;I;Geno
Size;20;0;5;5;5;5;0;5;5;5;0;10;10;0;10;10;0;5;10;0;10;10;0;5;10;0;10;25;0;5;5;0;10;10;0;10;20;0;5;5;0;10;10;0;25;20;0
Pos;0;20;20;25;30;35;40;40;45;50;55;55;65;75;75;85;95;95;100;110;110;120;130;130;135;145;145;155;180;180;185;190;190;200;210;210;220;240;240;245;250;250;260;270;270;295;70
Ypos;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;58
